source_id,ra,dec,l,b,dist_sol_pc,vel_rad_km_s,pmra,pmdec,phot_g_mean_mag,bp_rp,dist_centro_kpc
6435711560499749248,272.5045203798258,-68.4766346100824,325.74533162191454,-21.438148020966583,2809.9465,-53.96899,1.2688196164056267,-7.868432037788562,12.675103,1.2969942,6.278232828923852
6728706017459244672,281.1641504069406,-40.249294262297724,355.43513919540624,-15.933505300107532,2083.7976,-60.130962,3.9573237146133007,-5.312267633244224,12.829134,1.2536182,6.2090808149286865
6255165497744836736,233.96812209028909,-18.07646393488968,348.97134932384193,29.735151068928754,2439.478,-10.30055,-8.726036410452833,-5.344075751182364,13.1673765,1.229908,6.230910550776581
6657526241712498944,284.73537791526945,-52.11706765649793,344.44884647906247,-22.196387751168086,2243.0806,-103.93311,4.645233408111538,-10.05067004036221,12.579133,1.2862778,6.259840143893267
6280107541059346688,218.8141721122449,-20.450736694606487,333.469909295443,36.190147353486935,3157.5957,3.917874,2.16508455146587,-1.6250766975467033,14.066266,1.2736902,6.289507836118573
6693908501655597184,302.57656928131547,-38.344179952917585,2.629424411113018,-31.223576602680605,2368.8884,-27.750265,7.362538132087476,-2.9267733065967745,13.346186,1.0903339,6.276377421367231
4491988445283067520,262.625935246531,11.076790640322676,33.94141495738858,22.934074979691378,2971.2146,-87.61586,1.6222597374721612,-0.8614106660825577,13.331116,1.039751,6.2111206088553175
4491710543717628288,259.925345095109,10.070927138747738,31.711519339992314,24.910188104879797,2860.677,8.035155,-1.4349048813982856,-0.9826657035722999,13.887351,1.2198429,6.241977949309189
6709584788697971968,277.38885202290345,-44.74578244659716,350.01425954641905,-15.113599196342646,2044.6821,42.027233,-8.774493471570697,-2.4256582221433716,13.018819,1.0707245,6.266055610477033
6215890598809871744,219.71078865169835,-32.86404786939599,327.63696850057306,24.804054289088725,2855.9663,-135.48497,-4.781002515239501,-0.019967559512676904,13.70135,1.2802715,6.2625583443289905
6716541222661977216,282.64325062025307,-40.614123739369255,355.51886020346484,-17.11425839206894,2073.55,-47.687782,-9.903384186937739,-5.111376887178157,12.430788,1.181695,6.234192400944362
5817957102840170880,252.49477346555759,-63.16825681889199,326.3730076633987,-11.76057525883788,2526.0308,12.25448,-5.729434190860541,-9.439343446879034,13.305709,1.1748304,6.291318492100306
5818844614873297408,241.05400452335238,-71.03903485077211,317.37379576387696,-13.796537536432654,3349.7065,-17.476828,-3.2476158299962075,-1.7428903350760754,14.397042,1.2726336,6.2410817620008485
6726399409562379776,276.3957390657011,-39.74893301136757,354.3923945641952,-12.388301536370644,1989.8911,-64.80534,8.79266795862122,-1.4393829612917652,12.137621,1.2707005,6.261200537977366
6438403439839284608,283.65407513000014,-64.15464393279754,331.5708512200316,-24.566810838459578,2628.656,-45.860134,3.7507197659716147,-1.5588959803389368,13.278141,1.200882,6.277154989075022
6647514844743550208,273.66389496659104,-58.79767304489622,335.5535378940466,-18.44181660770988,2381.3772,11.742254,8.65228668973913,-7.995548818611802,12.912559,1.1093864,6.238082707665315
6432335166448220032,273.1196168689957,-69.89141967348354,324.38544499745257,-22.112374939548303,3074.7134,19.513382,-4.621773236572938,-3.6289170804291357,14.282415,1.294693,6.201388590972353
6695037906255199744,306.65413610993363,-36.78986888398358,5.173280164799484,-34.100122670666195,2475.867,-20.151693,-1.278866396016493,-6.5501723855234335,13.161636,1.0671282,6.293942129457476
6122729253456190464,213.45177365127864,-34.90602675175663,321.4864381268655,24.98047894027465,3286.9512,-44.958015,-11.359585293493273,-3.4775683409190594,13.514412,1.2535009,6.289100326535235
6723105311396067968,275.81989268729063,-42.00601424920606,352.10773862833685,-12.949914254725638,1990.7871,-15.250628,-2.7036208367639296,-6.25138088404765,14.431637,1.179738,6.27776495226865
6756270327288555392,287.5729424950303,-33.1304350068723,4.331628199450046,-18.086949659685203,2113.8665,-67.09899,7.054488738054729,-4.827685697893559,13.488168,1.220355,6.210961065776853
6576264227816133376,322.1166583688612,-44.56255405503577,355.7217117968775,-46.15529715643496,3723.278,33.06572,-4.558798936018887,-4.018367937203207,13.384858,1.1685314,6.218975818733135
5918299972784149888,269.6277026927327,-58.655715146364045,334.8042943894608,-16.467436522681698,2378.2522,-120.585785,1.6913131389195104,-1.6384995247822955,13.200757,1.2882967,6.227496808391475
